date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,GE,2020-04-29,2020-04-29 06:38:37,Q1,47286000000,0.0,47286000000,0.0,15457000000,0.0,62743000000,45979000000,26598000000,10381000000,36979000000,0.0,0.0,0.0,82958000000,116320000000,262021000000,15212000000,18122000000,0.0,10457000000,0.0,43791000000,66388000000,0.0,0.0,0.0,66388000000,0.0,225162000000,702000000,93615000000,-10819000000,0.0,35284000000,262021000000,0.0,84510000000,37224000000,https://www.sec.gov/Archives/edgar/data/40545/000004054520000021/0000040545-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054520000021/ge1q202010-q.htm
2019-12-31,GE,2020-02-24,2020-02-24 16:34:07,FY,36394000000,3229000000,39623000000,16769000000,14104000000,0.0,70496000000,43290000000,26734000000,10653000000,37387000000,45000000,9889000000,104941000000,195552000000,134873000000,266048000000,15926000000,22072000000,1349000000,3606000000,0.0,42953000000,67155000000,0.0,394000000,16583000000,84132000000,110647000000,237732000000,702000000,87732000000,-11732000000,0.0,28316000000,266048000000,3274000000,89227000000,52833000000,https://www.sec.gov/Archives/edgar/data/40545/000004054520000009/0000040545-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054520000009/ge10-k2019.htm
2019-09-30,GE,2019-10-30,2019-10-30 06:23:20,Q3,27810000000,48225000000,76035000000,16018000000,15203000000,0.0,107256000000,42886000000,26666000000,10766000000,37432000000,586000000,9570000000,65279000000,155753000000,139678000000,263009000000,14493000000,17046000000,0.0,4853000000,0.0,36392000000,74701000000,0.0,0.0,0.0,74701000000,123981000000,235074000000,702000000,87213000000,-11361000000,0.0,27935000000,263009000000,48811000000,91747000000,63937000000,https://www.sec.gov/Archives/edgar/data/40545/000004054519000069/0000040545-19-000069-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054519000069/ge3q201910-q.htm
2019-06-30,GE,2019-07-31,2019-07-31 06:12:38,Q2,31968000000,39383000000,71351000000,20152000000,19971000000,0.0,111474000000,49943000000,52272000000,16653000000,68925000000,1239000000,11894000000,68634000000,200635000000,141302000000,312109000000,17036000000,15620000000,0.0,4997000000,0.0,37653000000,88735000000,0.0,0.0,0.0,88735000000,149905000000,276293000000,702000000,96773000000,-12852000000,0.0,35816000000,312109000000,40622000000,104355000000,72387000000,https://www.sec.gov/Archives/edgar/data/40545/000004054519000053/0000040545-19-000053-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054519000053/ge2q201910-q.htm
2019-03-31,GE,2019-04-30,2019-04-30 06:08:24,Q1,7214000000,3244000000,10458000000,19518000000,19419000000,0.0,49395000000,50265000000,53194000000,17053000000,70247000000,1115000000,11413000000,132647000000,265687000000,140246000000,315082000000,17059000000,15953000000,0.0,4996000000,0.0,38008000000,90223000000,0.0,0.0,0.0,90223000000,151690000000,279921000000,702000000,96921000000,-13485000000,0.0,35161000000,315082000000,4359000000,106176000000,98962000000,https://www.sec.gov/Archives/edgar/data/40545/000004054519000024/0000040545-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054519000024/ge1q201910-q.htm
2018-12-31,GE,2019-02-26,2019-02-26 16:36:51,FY,6892000000,3322000000,10214000000,19874000000,19271000000,0.0,49359000000,50749000000,59614000000,18159000000,77773000000,1085000000,12432000000,117731000000,259770000000,126316000000,309129000000,17153000000,5220000000,5563000000,5232000000,0.0,33168000000,27089000000,0.0,8559000000,0.0,35648000000,209332000000,278148000000,702000000,93109000000,-14414000000,0.0,30981000000,309129000000,4407000000,32309000000,25417000000,https://www.sec.gov/Archives/edgar/data/40545/000004054519000014/0000040545-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054519000014/ge10-k2018.htm
2018-09-30,GE,2018-10-30,2018-10-30 07:34:30,Q3,7462000000,3280000000,10742000000,20414000000,20642000000,0.0,51798000000,50638000000,60377000000,18838000000,79215000000,571000000,10354000000,119115000000,259893000000,134264000000,311691000000,15748000000,15206000000,4908000000,4932000000,0.0,40794000000,97060000000,0.0,0.0,0.0,97060000000,142383000000,280237000000,702000000,90867000000,-13229000000,0.0,31454000000,311691000000,3851000000,112266000000,104804000000,https://www.sec.gov/Archives/edgar/data/40545/000004054518000081/0000040545-18-000081-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054518000081/ge3q201810-q.htm
2018-06-30,GE,2018-07-27,2018-07-27 17:02:42,Q2,8819000000,3244000000,12063000000,20797000000,20473000000,0.0,53333000000,50866000000,82464000000,19728000000,102192000000,594000000,10891000000,124893000000,289436000000,141564000000,342769000000,15026000000,14419000000,5130000000,5043000000,0.0,39618000000,99832000000,0.0,0.0,0.0,99832000000,148250000000,287700000000,702000000,114913000000,-13432000000,0.0,55069000000,342769000000,3838000000,114251000000,105432000000,https://www.sec.gov/Archives/edgar/data/40545/000004054518000061/0000040545-18-000061-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054518000061/ge2q201810-q.htm
2018-03-31,GE,2018-05-01,2018-05-01 16:18:23,Q1,9099000000,37156000000,46255000000,22560000000,20574000000,0.0,89389000000,53650000000,85468000000,20661000000,106129000000,757000000,11479000000,96705000000,268720000000,145627000000,358109000000,15060000000,19371000000,5403000000,3917000000,0.0,43751000000,105134000000,0.0,0.0,0.0,105134000000,153259000000,302144000000,702000000,115477000000,-12862000000,0.0,55965000000,358109000000,37913000000,124505000000,115406000000,https://www.sec.gov/Archives/edgar/data/40545/000004054518000032/0000040545-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054518000032/ge1q201810-q.htm
2017-12-31,GE,2018-02-23,2018-02-23 16:52:20,FY,43299000000,38696000000,81995000000,24438000000,21923000000,0.0,128356000000,53874000000,83968000000,20273000000,104241000000,1170000000,6207000000,84097000000,249589000000,154608000000,377945000000,15153000000,24036000000,5449000000,3037000000,0.0,47675000000,108575000000,0.0,15555000000,0.0,124130000000,141877000000,313682000000,702000000,125682000000,-14396000000,0.0,64263000000,377945000000,39866000000,132611000000,89312000000,https://www.sec.gov/Archives/edgar/data/40545/000004054518000014/0000040545-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054518000014/ge10-k2017.htm
2017-09-30,GE,2017-10-30,2017-10-30 16:28:38,Q3,19301000000,38696000000,57997000000,25026000000,25848000000,0.0,108871000000,54101000000,87068000000,21435000000,108503000000,0.0,1129000000,105434000000,269167000000,149732000000,378038000000,14907000000,28127000000,5281000000,2595000000,0.0,50910000000,107557000000,0.0,5055000000,0.0,112612000000,138411000000,301933000000,702000000,136696000000,-14523000000,0.0,76105000000,378038000000,38696000000,135684000000,116383000000,https://www.sec.gov/Archives/edgar/data/40545/000004054517000073/0000040545-17-000073-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054517000073/ge3q201710-q.htm
2017-06-30,GE,2017-07-28,2017-07-28 16:58:30,Q2,21419000000,39968000000,61387000000,21447000000,22843000000,0.0,105677000000,50167000000,72335000000,16929000000,89264000000,0.0,1241000000,109124000000,249796000000,149150000000,355473000000,13283000000,30044000000,4760000000,2679000000,0.0,50766000000,103676000000,0.0,5398000000,0.0,109074000000,121485000000,281325000000,702000000,137044000000,-15454000000,0.0,74148000000,355473000000,39968000000,133720000000,112301000000,https://www.sec.gov/Archives/edgar/data/40545/000004054517000053/0000040545-17-000053-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054517000053/ge2q201710-q.htm
2017-03-31,GE,2017-05-05,2017-05-05 17:29:10,Q1,42372000000,2950000000,45322000000,21675000000,22701000000,0.0,89698000000,49016000000,70313000000,16515000000,86828000000,0.0,953000000,125148000000,261945000000,151534000000,351643000000,13698000000,28324000000,4732000000,953000000,0.0,46754000000,99674000000,0.0,0.0,0.0,99674000000,130681000000,277109000000,702000000,137983000000,-16771000000,0.0,74534000000,351643000000,2950000000,127998000000,85626000000,https://www.sec.gov/Archives/edgar/data/40545/000004054517000028/0000040545-17-000028-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054517000028/ge10q1q2017.htm
2016-12-31,GE,2017-02-24,2017-02-24 17:21:03,FY,49558000000,12130000000,61688000000,24076000000,22354000000,0.0,108118000000,50518000000,70438000000,16436000000,86874000000,0.0,1833000000,117840000000,257065000000,157308000000,365183000000,14435000000,30714000000,4692000000,1833000000,0.0,49841000000,105080000000,0.0,-24366000000,0.0,80714000000,158800000000,289355000000,702000000,139532000000,-18598000000,0.0,75828000000,365183000000,12130000000,135794000000,86236000000,https://www.sec.gov/Archives/edgar/data/40545/000004054517000010/0000040545-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054517000010/ge10k2016.htm
2016-09-30,GE,2016-11-02,2016-11-02 16:28:18,Q3,55445000000,52000000,55497000000,25187000000,24116000000,0.0,104800000000,51453000000,69988000000,16779000000,86767000000,0.0,1463000000,143211000000,282894000000,172828000000,387694000000,13067000000,31571000000,5605000000,1463000000,0.0,50243000000,115686000000,0.0,0.0,0.0,115686000000,139883000000,305812000000,702000000,138236000000,-14422000000,0.0,81882000000,387694000000,52000000,147257000000,91812000000,https://www.sec.gov/Archives/edgar/data/40545/000004054516000195/0000040545-16-000195-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054516000195/ge10q3q16.htm
2016-06-30,GE,2016-08-01,2016-08-01 16:52:19,Q2,56313000000,19000000,56332000000,25128000000,24723000000,0.0,106183000000,50436000000,67097000000,16650000000,83747000000,0.0,2242000000,158853000000,295278000000,190432000000,401461000000,13115000000,31927000000,6572000000,2242000000,0.0,51614000000,122504000000,0.0,0.0,0.0,122504000000,142352000000,316470000000,702000000,138310000000,-14898000000,0.0,84991000000,401461000000,19000000,154431000000,98118000000,https://www.sec.gov/Archives/edgar/data/40545/000004054516000174/0000040545-16-000174-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054516000174/ge10q2q16.htm
2016-03-31,GE,2016-05-04,2016-05-04 16:44:34,Q1,101218000000,31000000,101249000000,25918000000,23907000000,0.0,151074000000,53786000000,66212000000,16890000000,83102000000,0.0,3214000000,171017000000,311119000000,226323000000,462193000000,13150000000,51082000000,6557000000,3214000000,0.0,70789000000,132187000000,0.0,0.0,0.0,132187000000,168129000000,371105000000,702000000,137750000000,-15705000000,0.0,91088000000,462193000000,31000000,183269000000,82051000000,https://www.sec.gov/Archives/edgar/data/40545/000004054516000152/0000040545-16-000152-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054516000152/ge10q1q2016.htm
2015-12-31,GE,2016-02-26,2016-02-26 16:06:12,FY,90879000000,12447000000,103326000000,27022000000,22515000000,0.0,152863000000,54095000000,65526000000,16744000000,82270000000,0.0,3105000000,200359000000,339829000000,263329000000,492692000000,13680000000,49892000000,6778000000,3105000000,0.0,70350000000,145301000000,0.0,0.0,0.0,145301000000,178767000000,394418000000,702000000,140020000000,-16529000000,0.0,98274000000,492692000000,12447000000,195193000000,104314000000,https://www.sec.gov/Archives/edgar/data/40545/000004054516000145/0000040545-16-000145-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054516000145/ge10k2015.htm
2015-09-30,GE,2015-11-02,2015-10-30 19:58:04,Q3,110611000000,23000000,110634000000,22332000000,19285000000,0.0,152251000000,50704000000,61660000000,13618000000,75278000000,0.0,176000000,302901000000,429059000000,336957000000,581310000000,11762000000,46495000000,5447000000,176000000,0.0,63704000000,180011000000,0.0,-115000000,0.0,179896000000,226506000000,470106000000,702000000,135932000000,-16983000000,0.0,111204000000,581310000000,23000000,226506000000,115895000000,https://www.sec.gov/Archives/edgar/data/40545/000004054515000114/0000040545-15-000114-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054515000114/ge10q3q15.htm
2015-06-30,GE,2015-07-30,2015-07-29 21:43:35,Q2,98353000000,26000000,98379000000,21760000000,18704000000,0.0,138843000000,51039000000,62184000000,13668000000,75852000000,0.0,0.0,345192000000,472083000000,373665000000,610926000000,12017000000,67822000000,5389000000,67000000,0.0,85228000000,185351000000,0.0,67000000,0.0,185418000000,230777000000,501423000000,702000000,135755000000,-18206000000,0.0,109503000000,610926000000,26000000,253173000000,154820000000,https://www.sec.gov/Archives/edgar/data/40545/000004054515000088/0000040545-15-000088-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054515000088/ge10q2q15.htm
2015-03-31,GE,2015-05-04,2015-05-04 16:07:30,Q1,88874000000,34000000,88908000000,20547000000,17830000000,0.0,127285000000,61219000000,69604000000,13533000000,83137000000,0.0,0.0,345990000000,490346000000,368390000000,617631000000,14392000000,69211000000,5444000000,2901000000,0.0,89047000000,190420000000,0.0,2901000000,0.0,193321000000,226703000000,509071000000,702000000,139441000000,-22364000000,0.0,108560000000,617631000000,34000000,259631000000,170757000000,https://www.sec.gov/Archives/edgar/data/40545/000004054515000054/0000040545-15-000054-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054515000054/ge10q1q15.htm
2015-02-27,GE,2015-02-27,2015-02-27 16:25:56,FY,90208000000,0.0,90208000000,0.0,17689000000,0.0,107897000000,66387000000,76553000000,14156000000,90709000000,0.0,0.0,0.0,157096000000,383356000000,648349000000,16338000000,71789000000,0.0,2541000000,0.0,90668000000,0.0,0.0,0.0,0.0,0.0,0.0,511516000000,702000000,155333000000,0.0,0.0,0.0,648349000000,0.0,71789000000,-18419000000,https://www.sec.gov/Archives/edgar/data/40545/000004054515000030/0000040545-15-000030-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054515000030/ge10k2014.htm
2014-11-03,GE,2014-11-04,2014-11-03 17:32:46,Q3,90439000000,0.0,90439000000,0.0,19431000000,0.0,109870000000,65460000000,77859000000,14357000000,92216000000,0.0,0.0,0.0,157676000000,382475000000,650021000000,16758000000,69916000000,0.0,1612000000,0.0,88286000000,213179000000,0.0,0.0,0.0,213179000000,0.0,506510000000,-43005000000,152497000000,0.0,0.0,0.0,650021000000,0.0,283095000000,192656000000,https://www.sec.gov/Archives/edgar/data/40545/000004054514000049/0000040545-14-000049-index.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054514000049/ge3q14_10q.htm
