date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,UNP,2020-04-23,2020-04-23 16:58:23,Q1,1130000000,60000000,1190000000,1669000000,0.0,945000000,3804000000,54121000000,0.0,0.0,0.0,2078000000,0.0,2213000000,58412000000,58412000000,62216000000,3130000000,1511000000,0.0,12088000000,0.0,4641000000,26365000000,0.0,12088000000,1792000000,40245000000,1339000000,46225000000,2781000000,49419000000,-1329000000,0.0,15991000000,62216000000,2138000000,27876000000,26746000000,https://www.sec.gov/Archives/edgar/data/100885/000010088520000143/0000100885-20-000143-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088520000143/unp-20200331x10q.htm
2019-12-31,UNP,2020-02-07,2020-02-07 15:35:18,FY,831000000,60000000,891000000,1595000000,0.0,973000000,3459000000,53916000000,0.0,0.0,0.0,2050000000,0.0,2248000000,58214000000,58214000000,61673000000,3094000000,1257000000,0.0,11992000000,0.0,4351000000,23943000000,0.0,11992000000,1788000000,37723000000,1471000000,43545000000,2780000000,48605000000,-1356000000,0.0,18128000000,61673000000,2110000000,25200000000,24369000000,https://www.sec.gov/Archives/edgar/data/100885/000010088520000065/0000100885-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088520000065/unp-20191231x10k.htm
2019-09-30,UNP,2019-10-17,2019-10-17 16:28:14,Q3,1250000000,60000000,1310000000,1650000000,0.0,1113000000,4073000000,53488000000,0.0,0.0,0.0,2003000000,0.0,2414000000,57905000000,57905000000,61978000000,3166000000,1421000000,0.0,11744000000,0.0,4587000000,24314000000,0.0,11744000000,1775000000,37833000000,1542000000,43962000000,2780000000,47875000000,-1305000000,0.0,18016000000,61978000000,2063000000,25735000000,24485000000,https://www.sec.gov/Archives/edgar/data/100885/000010088519000256/0000100885-19-000256-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088519000256/unp-20190930x10q.htm
2019-06-30,UNP,2019-07-18,2019-07-18 16:35:47,Q2,1049000000,60000000,1109000000,1809000000,0.0,1168000000,4086000000,53115000000,0.0,0.0,0.0,1989000000,0.0,2518000000,57622000000,57622000000,61708000000,3368000000,2297000000,0.0,11574000000,0.0,5665000000,22955000000,0.0,11574000000,1731000000,36260000000,1612000000,43537000000,2780000000,46997000000,-1298000000,0.0,18171000000,61708000000,2049000000,25252000000,24203000000,https://www.sec.gov/Archives/edgar/data/100885/000010088519000196/0000100885-19-000196-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088519000196/unp-20190630x10q.htm
2019-03-31,UNP,2019-04-18,2019-04-18 15:29:37,Q1,1059000000,60000000,1119000000,1672000000,0.0,1162000000,3953000000,52856000000,0.0,0.0,0.0,1951000000,0.0,2559000000,57366000000,57366000000,61319000000,3559000000,1703000000,0.0,11408000000,0.0,5262000000,23409000000,0.0,11408000000,1835000000,36652000000,1663000000,43577000000,2780000000,46049000000,-1378000000,0.0,17742000000,61319000000,2011000000,25112000000,24053000000,https://www.sec.gov/Archives/edgar/data/100885/000010088519000129/0000100885-19-000129-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088519000129/unp-20190331x10q.htm
2018-12-31,UNP,2019-02-08,2019-02-08 14:28:23,FY,1273000000,60000000,1333000000,1755000000,0.0,1075000000,4163000000,52679000000,0.0,0.0,0.0,1912000000,0.0,393000000,54984000000,54984000000,59147000000,3160000000,1466000000,0.0,11302000000,0.0,4626000000,20925000000,0.0,11302000000,1871000000,34098000000,0.0,38724000000,2779000000,45284000000,-1415000000,0.0,20423000000,59147000000,1972000000,22391000000,21118000000,https://www.sec.gov/Archives/edgar/data/100885/000010088519000060/0000100885-19-000060-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088519000060/unp-20181231x10k.htm
2018-09-30,UNP,2018-10-25,2018-10-25 16:05:24,Q3,1810000000,90000000,1900000000,1792000000,0.0,1124000000,4816000000,52210000000,0.0,0.0,0.0,1887000000,0.0,399000000,54496000000,54496000000,59312000000,3061000000,1468000000,0.0,11270000000,0.0,4529000000,20943000000,0.0,11270000000,1925000000,34138000000,0.0,38667000000,2779000000,44313000000,-1392000000,0.0,20645000000,59312000000,1977000000,22411000000,20601000000,https://www.sec.gov/Archives/edgar/data/100885/000010088518000268/0000100885-18-000268-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088518000268/unp-20180930x10q.htm
2018-06-30,UNP,2018-07-19,2018-07-19 15:47:52,Q2,1604000000,90000000,1694000000,1634000000,0.0,1166000000,4494000000,51947000000,0.0,0.0,0.0,1856000000,0.0,392000000,54195000000,54195000000,58689000000,2916000000,1456000000,0.0,11109000000,0.0,4372000000,21357000000,0.0,11109000000,1942000000,34408000000,0.0,38780000000,2779000000,43311000000,-1428000000,0.0,19909000000,58689000000,1946000000,22813000000,21209000000,https://www.sec.gov/Archives/edgar/data/100885/000010088518000184/0000100885-18-000184-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088518000184/unp-20180630x10q.htm
2018-03-31,UNP,2018-04-26,2018-04-26 16:40:19,Q1,1048000000,90000000,1138000000,1571000000,0.0,1188000000,3897000000,51696000000,0.0,0.0,0.0,1810000000,0.0,386000000,53892000000,53892000000,57789000000,2855000000,1891000000,0.0,11050000000,0.0,4746000000,15697000000,0.0,11050000000,1907000000,28654000000,0.0,33400000000,2779000000,42359000000,-1422000000,0.0,24389000000,57789000000,1900000000,17588000000,16540000000,https://www.sec.gov/Archives/edgar/data/100885/000010088518000125/0000100885-18-000125-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088518000125/unp-20180331x10q.htm
2017-12-31,UNP,2018-02-09,2018-02-09 14:32:01,FY,1275000000,90000000,1365000000,1493000000,0.0,1148000000,4006000000,51605000000,0.0,0.0,0.0,1809000000,0.0,386000000,53800000000,53800000000,57806000000,3139000000,800000000,0.0,10936000000,0.0,3939000000,16144000000,0.0,10936000000,1931000000,29011000000,0.0,32950000000,2778000000,41317000000,-1141000000,0.0,24856000000,57806000000,1899000000,16944000000,15669000000,https://www.sec.gov/Archives/edgar/data/100885/000010088518000048/0000100885-18-000048-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088518000048/unp-20171231x10k.htm
2017-09-30,UNP,2017-10-26,2017-10-26 16:05:11,Q3,1847000000,90000000,1937000000,1428000000,0.0,1084000000,4449000000,51036000000,0.0,0.0,0.0,1566000000,0.0,346000000,52948000000,52948000000,57397000000,2928000000,903000000,0.0,16524000000,0.0,3831000000,15930000000,0.0,16524000000,1961000000,34415000000,0.0,38246000000,2778000000,34561000000,-1172000000,0.0,19151000000,57397000000,1656000000,16833000000,14986000000,https://www.sec.gov/Archives/edgar/data/100885/000010088517000245/0000100885-17-000245-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088517000245/unp-20170930x10q.htm
2017-06-30,UNP,2017-07-20,2017-07-20 15:40:53,Q2,1286000000,90000000,1376000000,1357000000,0.0,1136000000,3869000000,50814000000,0.0,0.0,0.0,1504000000,0.0,291000000,52609000000,52609000000,56478000000,2875000000,531000000,0.0,16329000000,0.0,3406000000,15229000000,0.0,16329000000,1899000000,33457000000,0.0,36863000000,2778000000,33847000000,-1221000000,0.0,19615000000,56478000000,1594000000,15760000000,14474000000,https://www.sec.gov/Archives/edgar/data/100885/000010088517000173/0000100885-17-000173-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088517000173/unp-20170630x10q.htm
2017-03-31,UNP,2017-04-27,2017-04-27 15:21:21,Q1,1049000000,90000000,1139000000,1279000000,0.0,1170000000,3588000000,50550000000,0.0,0.0,0.0,1480000000,0.0,282000000,52312000000,52312000000,55900000000,3125000000,723000000,0.0,16157000000,0.0,3848000000,14310000000,0.0,16157000000,1862000000,32329000000,0.0,36177000000,2779000000,33167000000,-1252000000,0.0,19723000000,55900000000,1570000000,15033000000,13984000000,https://www.sec.gov/Archives/edgar/data/100885/000010088517000114/0000100885-17-000114-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088517000114/unp-20170331x10q.htm
2016-12-31,UNP,2017-02-03,2017-02-03 16:13:15,FY,1277000000,60000000,1337000000,1258000000,0.0,1001000000,3596000000,50389000000,0.0,0.0,0.0,1457000000,0.0,276000000,52122000000,52122000000,55718000000,2882000000,758000000,0.0,15996000000,0.0,3640000000,14249000000,0.0,15996000000,1901000000,32146000000,0.0,35786000000,2777000000,32587000000,-1272000000,0.0,19932000000,55718000000,1517000000,15007000000,13730000000,https://www.sec.gov/Archives/edgar/data/100885/000010088517000056/0000100885-17-000056-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088517000056/unp-20161231x10k.htm
2016-09-30,UNP,2016-10-20,2016-10-20 15:49:02,Q3,1909000000,330000000,2239000000,1351000000,0.0,1012000000,4602000000,49939000000,0.0,0.0,0.0,1446000000,0.0,318000000,51703000000,51703000000,56305000000,2850000000,407000000,0.0,15774000000,0.0,3257000000,15205000000,0.0,15774000000,1785000000,32764000000,0.0,36021000000,2777000000,31940000000,-1185000000,0.0,20284000000,56305000000,1776000000,15612000000,13703000000,https://www.sec.gov/Archives/edgar/data/100885/000010088516000454/0000100885-16-000454-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088516000454/unp-20160930x10q.htm
2016-06-30,UNP,2016-07-21,2016-07-21 17:14:32,Q2,1830000000,330000000,2160000000,1373000000,0.0,1033000000,4566000000,49461000000,0.0,0.0,0.0,1408000000,0.0,255000000,51124000000,51124000000,55690000000,2686000000,409000000,0.0,15593000000,0.0,3095000000,14777000000,0.0,15593000000,1803000000,32173000000,0.0,35268000000,2778000000,31266000000,-1198000000,0.0,20422000000,55690000000,1738000000,15186000000,13356000000,https://www.sec.gov/Archives/edgar/data/100885/000010088516000400/0000100885-16-000400-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088516000400/unp-20160630x10q.htm
2016-03-31,UNP,2016-04-21,2016-04-21 15:48:49,Q1,2673000000,1404000000,2673000000,1355000000,0.0,1055000000,5083000000,49071000000,0.0,0.0,0.0,1404000000,0.0,214000000,50689000000,50689000000,55772000000,2885000000,402000000,0.0,15404000000,0.0,3287000000,14791000000,0.0,15404000000,1815000000,32010000000,0.0,35297000000,2778000000,30747000000,-1208000000,0.0,20475000000,55772000000,1404000000,15193000000,12520000000,https://www.sec.gov/Archives/edgar/data/100885/000010088516000339/0000100885-16-000339-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088516000339/unp-20160331x10q.htm
2015-12-31,UNP,2016-02-05,2016-02-05 13:24:19,FY,1391000000,1410000000,1391000000,1356000000,0.0,1383000000,4130000000,48866000000,0.0,0.0,0.0,1410000000,0.0,194000000,50470000000,50470000000,54600000000,2612000000,594000000,0.0,15241000000,0.0,3206000000,13607000000,0.0,15241000000,1844000000,30692000000,0.0,33898000000,2776000000,30233000000,-1195000000,0.0,20702000000,54600000000,1410000000,14201000000,12810000000,https://www.sec.gov/Archives/edgar/data/100885/000010088516000260/0000100885-16-000260-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088516000260/unp-20151231x10k.htm
2015-09-30,UNP,2015-10-22,2015-10-22 15:29:04,Q3,1078000000,1373000000,1078000000,1508000000,0.0,1356000000,3942000000,48149000000,0.0,0.0,0.0,1373000000,218000000,81000000,49821000000,49821000000,53763000000,2987000000,521000000,0.0,218000000,303000000,3508000000,12798000000,0.0,15062000000,1796000000,29656000000,0.0,33164000000,2776000000,29583000000,-1212000000,0.0,20599000000,53763000000,1373000000,13319000000,12241000000,https://www.sec.gov/Archives/edgar/data/100885/000010088515000190/0000100885-15-000190-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088515000190/unp-20150930x10q.htm
2015-06-30,UNP,2015-07-24,2015-07-24 14:26:22,Q2,2041000000,1375000000,2041000000,1513000000,0.0,1429000000,4983000000,47512000000,0.0,0.0,0.0,1375000000,235000000,72000000,49194000000,49194000000,54177000000,2982000000,431000000,0.0,235000000,196000000,3413000000,12908000000,0.0,14907000000,1959000000,29774000000,0.0,33187000000,2776000000,28759000000,-1208000000,0.0,20990000000,54177000000,1375000000,13339000000,11298000000,https://www.sec.gov/Archives/edgar/data/100885/000010088515000143/0000100885-15-000143-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088515000143/unp-20150630x10q.htm
