date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-02-29,FDX,2020-03-17,2020-03-17 16:17:33,Q3,17487000000,879000000,16608000000,0.9497340881797907,0.0,6382000000,0.0,2378000000,8760000000,17076000000,0.0,908000000,1319000000,0.0754274603992,411000000,0.0235031737862,9000000.0,420000000,0.0240178418254,105000000,315000000,0.018013381369,1.21,1.2,261000000,262000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459020011411/0001564590-20-011411-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459020011411/fdx-10q_20200229.htm
2019-11-30,FDX,2019-12-17,2019-12-17 16:17:32,Q2,17324000000,890000000,16434000000,0.9486261833294851,0.0,6235000000,0.0,2333000000,8568000000,16770000000,0.0,901000000,1455000000,0.0839875317479,554000000,0.0319787577927,18000000,572000000,0.033017778804,12000000,560000000,0.0323250981298,2.14,2.13,261000000,262000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459019046220/0001564590-19-046220-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459019046220/fdx-10q_20191130.htm
2019-08-31,FDX,2019-09-17,2019-09-17 16:17:01,Q1,17048000000,4028000000,13020000000,0.7637259502580948,0.0,6087000000,0.0,2214000000,8301000000,16071000000,0.0,879000000,1856000000,0.108869075551,977000000,0.0573087752229,19000000,996000000,0.0584232754575,251000000,745000000,0.043700140779,2.86,2.84,260000000,262000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459019034896/0001564590-19-034896-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459019034896/fdx-10q_20190831.htm
2019-05-31,FDX,2019-07-16,2019-07-16 16:18:24,FY,17807000000,4088000000,13719000000,0.7704273600269557,0.0,6187000000,0.0,6691000000,12878000000,16491000000,588000000,866000000,2182000000,0.122536081316,1316000000,0.0739035210872,-3725000000,-2554000000,-0.14342674229235694,-585000000,-1969000000,-0.11057449317684057,-7.49,-7.38,262000000,265000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459019025065/0001564590-19-025065-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459019025065/fdx-10k_20190531.htm
2019-02-28,FDX,2019-03-19,2019-03-19 16:20:41,Q3,17010000000,4253000000,12757000000,0.7499706055261611,0.0,6069000000,0.0,2173000000,8242000000,16099000000,0.0,851000000,1762000000,0.103586125808,911000000,0.0535567313345,20000000,931000000,0.0547325102881,192000000,739000000,0.0434450323339,2.84,2.81,262000000,266000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459019008444/0001564590-19-008444-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459019008444/fdx-10q_20190228.htm
2018-11-30,FDX,2018-12-18,2018-12-18 16:07:08,Q2,17824000000,4346000000,13478000000,0.7561714542190305,0.0,6260000000,0.0,2296000000,8556000000,16656000000,0.0,828000000,1996000000,0.111983842011,1168000000,0.0655296229803,9000000.0,1177000000,0.0660345601436,242000000,935000000,0.0524573608618,3.56,3.5,263000000,268000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459018031032/0001564590-18-031032-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459018031032/fdx-10q_20181130.htm
2018-08-31,FDX,2018-09-17,2018-09-17 16:27:09,Q1,17052000000,3967000000,13085000000,0.7673586676049731,0.0,6260000000,0.0,2132000000,8392000000,15981000000,0.0,808000000,1879000000,0.110192352803,1071000000,0.0628078817734,30000000,1101000000,0.0645672061928,266000000,835000000,0.0489678630073,3.15,3.1,265000000,269000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459018023207/0001564590-18-023207-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459018023207/fdx-10q_20180831.htm
2018-05-31,FDX,2018-07-16,2018-07-16 16:19:05,FY,17314000000,939000000,16375000000,0.9457664317893034,0.0,5966000000,0.0,2740000000,8706000000,15824000000,558000000,802000000,2292000000,0.132378422086,1490000000,0.0860575257017,-132000000,1358000000,0.0784336375188,231000000,1127000000,0.0650918331986,4.23,4.16,267000000,272000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459018016877/0001564590-18-016877-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459018016877/fdx-10k_20180531.htm
2018-02-28,FDX,2018-03-21,2018-03-21 14:35:33,Q3,16526000000,914000000,15612000000,0.9446932106982936,0.0,5981000000,0.0,2283000000,8264000000,15525000000,0.0,786000000,1787000000,0.108132639477,1001000000,0.0605712211061,-127000000,874000000,0.0528863608859,-1200000000,2074000000,0.125499213361,7.73,7.6,268000000,272000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459018006410/0001564590-18-006410-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459018006410/fdx-10q_20180228.htm
2017-11-30,FDX,2017-12-20,2017-12-20 16:17:05,Q2,16313000000,818000000,15495000000,0.9498559431128548,0.0,5742000000,0.0,2271000000,8013000000,15051000000,0.0,756000000,2018000000,0.123705020536,1262000000,0.0773616134371,-123000000,1139000000,0.0698216146632,364000000,775000000,0.0475081223564,2.9,2.84,268000000,272000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459017025136/0001564590-17-025136-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459017025136/fdx-10q_20171130.htm
2017-08-31,FDX,2017-09-20,2017-09-20 16:22:02,Q1,15297000000,703000000,14594000000,0.9540432764594365,0.0,5518000000,0.0,2156000000,7674000000,14180000000,0.0,751000000,1868000000,0.122115447473,1117000000,0.0730208537622,-135000000,982000000,0.0641955939073,386000000,596000000,0.0389618879519,2.22,2.19,268000000,272000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459017018835/0001564590-17-018835-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459017018835/fdx-10q_20170831.htm
2017-05-31,FDX,2017-07-17,2017-07-17 08:46:15,FY,15728000000,730000000,14998000000,0.953585961342828,0.0,5483000000,0.0,2674000000,8157000000,14147000000,512000000,754000000,2335000000,0.148461342828,1581000000,0.100521363174,-121000000,1460000000,0.0928280773143,440000000,1020000000,0.0648524923703,3.81,3.76,266000000,270000000,https://www.sec.gov/Archives/edgar/data/1048911/000095012317006152/0000950123-17-006152-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000095012317006152/fdx-10k_20170531.htm
2017-02-28,FDX,2017-03-22,2017-03-22 17:08:19,Q3,14997000000,735000000,14262000000,0.9509901980396079,0.0,5395000000,0.0,13210000000,13210000000,13972000000,0.0,762000000,1787000000,0.119157164766,1025000000,0.0683470027339,-126000000,899000000,0.0599453223978,337000000,562000000,0.037474161499,2.11,2.07,266000000,270000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459017005037/0001564590-17-005037-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459017005037/fdx-10q_20170228.htm
2016-11-30,FDX,2016-12-21,2016-12-21 16:39:39,Q2,14931000000,658000000,14273000000,0.9559306141584623,0.0,5353000000,0.0,8411000000,13764000000,13764000000,0.0,740000000,1907000000,0.12772084924,1167000000,0.0781595338557,-89000000,1078000000,0.0721987810595,378000000,700000000,0.0468823253633,2.63,2.59,266000000,270000000,https://www.sec.gov/Archives/edgar/data/1048911/000119312516800543/0001193125-16-800543-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000119312516800543/d262623d10q.htm
2016-08-31,FDX,2016-09-21,2016-09-21 16:56:07,Q1,14663000000,650000000,14013000000,0.9556707358657847,0.0,5311000000,0.0,8088000000,13399000000,13399000000,0.0,739000000,2003000000,0.136602332401,1264000000,0.0862033690241,-122000000,1142000000,0.0778831071404,427000000,715000000,0.0487621905476,2.69,2.65,265000000,269000000,https://www.sec.gov/Archives/edgar/data/1048911/000119312516716033/0001193125-16-716033-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000119312516716033/d237124d10q.htm
2016-05-31,FDX,2016-07-18,2016-07-18 16:29:51,FY,12979000000,535000000,12444000000,0.9587795669928346,0.0,4774000000,0.0,8273000000,13047000000,13047000000,336000000,667000000,599000000,0.0461514754604,-68000000,-0.005239232606518222,-113000000,-181000000,-0.013945604437938209,-111000000,-70000000,-0.005393327683180522,-0.2,-0.2,276000000,279000000,https://www.sec.gov/Archives/edgar/data/1048911/000119312516650267/0001193125-16-650267-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000119312516650267/d207174d10k.htm
2016-02-29,FDX,2016-03-17,2016-03-17 14:53:47,Q3,12654000000,537000000,12117000000,0.9575628259838787,0.0,4712000000,0.0,7078000000,11790000000,11790000000,0.0,663000000,1527000000,0.120673304884,864000000,0.0682788051209,-82000000,782000000,0.061798640746,275000000,507000000,0.0400663821716,1.87,1.85,278000000,281000000,https://www.sec.gov/Archives/edgar/data/1048911/000119312516508426/0001193125-16-508426-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000119312516508426/d307845d10q.htm
