date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,MCD,2020-05-07,2020-05-07 13:33:15,Q1,4714400000,554200000,4160200000,0.8824452740539623,0.0,0.0,0.0,2276100000,2276100000,3020800000,0.0,421300000,2114900000,0.44860427626,1693600000,0.359239776005,31300000,1444900000,0.306486509418,338000000,1106900000,0.234791277787,1.49,1.47,744800000,750700000,https://www.sec.gov/Archives/edgar/data/63908/000006390820000042/0000063908-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390820000042/mcd-3312020x10q.htm
2019-12-31,MCD,2020-02-26,2020-02-26 11:58:02,FY,5349000000,2980000000,2369000000,0.4428865208450178,0.0,653600000,0.0,-5300000000,-6875000000,3056400000,283000000,413600000,2706200000,0.505926341372,2292600000,0.428603477285,17200000,2026800000,0.378911946158,454600000,1572200000,0.293924097962,2.1,2.08,758100000,764900000,https://www.sec.gov/Archives/edgar/data/63908/000006390820000022/0000063908-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390820000022/mcd-12312019x10k.htm
2019-09-30,MCD,2019-11-04,2019-11-04 12:05:50,Q3,5430600000,559500000,4871100000,0.8969727101977683,0.0,543600000,0.0,2017200000,2560800000,3021300000,280600000,413400000,2822700000,0.519776820241,2409300000,0.443652635068,23500000,2152200000,0.396309800022,544300000,1607900000,0.296081464295,2.12,2.11,761100000,768100000,https://www.sec.gov/Archives/edgar/data/63908/000006390819000085/0000063908-19-000085-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390819000085/mcd-9302019x10q.htm
2019-06-30,MCD,2019-08-06,2019-08-06 15:35:56,Q2,5341300000,1077800000,4263500000,0.7982139179600471,0.0,533100000,0.0,1944600000,2477700000,3067400000,284200000,398300000,2672200000,0.500290191526,2273900000,0.425720330257,18100000,2007800000,0.375900997884,490900000,1516900000,0.283994533166,1.99,1.97,763300000,770200000,https://www.sec.gov/Archives/edgar/data/63908/000006390819000062/0000063908-19-000062-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390819000062/mcd-6302019x10q.htm
2019-03-31,MCD,2019-05-08,2019-05-08 16:37:59,Q1,4955600000,0.0,4955600000,1.0,0.0,499100000,0.0,1943000000,2442100000,2861600000,274100000,392600000,2486600000,0.501775768827,2094000000,0.422552264105,11400000,1831300000,0.369541528776,502900000,1328400000,0.26806037614,1.74,1.72,764900000,771600000,https://www.sec.gov/Archives/edgar/data/63908/000006390819000039/0000063908-19-000039-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390819000039/mcd-3312019x10q.htm
2018-12-31,MCD,2019-02-22,2019-02-22 09:48:25,FY,5163000000,3153000000,2010000000,0.389308541545613,0.0,609800000,0.0,2553000000,3163000000,3163500000,254100000,379000000,2378500000,0.460681774162,1999500000,0.387274840209,6000000.0,1751400000,0.339221382917,336100000,1415300000,0.274123571567,1.84,1.82,778200000,785600000,https://www.sec.gov/Archives/edgar/data/63908/000006390819000010/0000063908-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390819000010/mcd-12312018x10k.htm
2018-09-30,MCD,2018-11-01,2018-11-01 12:52:42,Q3,5369400000,0.0,5369400000,1.0,0.0,515200000,0.0,2158700000,2673900000,2951700000,250100000,375100000,2792800000,0.52013260327,2417700000,0.450273773606,-111000000,2158700000,0.402037471598,521400000,1637300000,0.304931649719,2.11,2.1,781200000,788500000,https://www.sec.gov/Archives/edgar/data/63908/000006390818000064/0000063908-18-000064-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390818000064/mcd-9302018x10q.htm
2018-06-30,MCD,2018-08-02,2018-08-02 16:16:54,Q2,5353900000,0.0,5353900000,1.0,0.0,542100000,0.0,2195400000,2737500000,3091600000,240200000,365000000,2627300000,0.490726386373,2262300000,0.42255178468,-65000000,2018100000,0.376940174452,521800000,1496300000,0.279478510992,1.92,1.9,785400000,793000000,https://www.sec.gov/Archives/edgar/data/63908/000006390818000049/0000063908-18-000049-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390818000049/mcd-6302018x10q.htm
2018-03-31,MCD,2018-05-08,2018-05-08 11:54:40,Q1,5138900000,0.0,5138900000,1.0,0.0,533100000,0.0,2279400000,2812500000,2995800000,236800000,362900000,2506000000,0.487652999669,2143100000,0.417034773979,-148000000,1887900000,0.367374340812,512500000,1375400000,0.267644826714,1.74,1.72,790900000,798700000,https://www.sec.gov/Archives/edgar/data/63908/000006390818000025/0000063908-18-000025-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390818000025/mcd-3312018x10q.htm
2017-12-31,MCD,2018-02-23,2018-02-23 12:45:01,FY,5340200000,4033000000,1307200000,0.24478483951911914,0.0,617600000,0.0,2578000000,3196000000,3196000000,235100000,342800000,2487000000,0.465712894648,2144200000,0.401520542302,-97000000,1885100000,0.353001760234,1186400000,698700000,0.130837796337,0.89,0.89,807400000,815500000,https://www.sec.gov/Archives/edgar/data/63908/000006390818000010/0000063908-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390818000010/mcd-12312017x10k.htm
2017-09-30,MCD,2017-11-02,2017-11-02 12:45:45,Q3,5754600000,0.0,5754600000,1.0,0.0,567000000,0.0,3308700000,3875700000,2675200000,236700000,355800000,3435200000,0.596948528134,3079400000,0.535119730303,-828000000,2819500000,0.489955861398,935800000,1883700000,0.327338129496,2.34,2.31,811800000,819400000,https://www.sec.gov/Archives/edgar/data/63908/000006390817000053/0000063908-17-000053-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390817000053/mcd-9302017x10q.htm
2017-06-30,MCD,2017-08-08,2017-08-08 11:23:46,Q2,6049700000,0.0,6049700000,1.0,0.0,525400000,0.0,3015400000,3540800000,3754600000,230900000,339500000,2634600000,0.435492669058,2295100000,0.379374183844,-113000000,2061400000,0.340744169132,666300000,1395100000,0.230606476354,1.72,1.7,815200000,822300000,https://www.sec.gov/Archives/edgar/data/63908/000006390817000039/0000063908-17-000039-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390817000039/mcd-6302017x10q.htm
2017-03-31,MCD,2017-05-08,2017-05-08 16:10:35,Q1,5675900000,0.0,5675900000,1.0,0.0,521300000,0.0,2942300000,3463600000,3641900000,218600000,325300000,2359300000,0.415669761624,2034000000,0.358357264927,-125000000,1807500000,0.31845169929,592700000,1214800000,0.214027731285,1.48,1.47,818800000,825200000,https://www.sec.gov/Archives/edgar/data/63908/000006390817000025/0000063908-17-000025-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390817000025/mcd-3312017x10q.htm
2016-12-31,MCD,2017-03-01,2017-03-01 12:16:56,FY,6028900000,4896000000,1132900000,0.18791155932259615,0.0,627500000,0.0,3433000000,4060000000,4059900000,221200000,378900000,2347900000,0.389440859858,1969000000,0.326593574284,-39000000,1734900000,0.287763937037,541500000,1193400000,0.197946557415,1.45,1.43,854400000,861200000,https://www.sec.gov/Archives/edgar/data/63908/000006390817000017/0000063908-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390817000017/mcd-12312016x10k.htm
